Using device: mps
Starting PPO training for 500000 episodes...
Ep      100 | WinRT:  29.0% | AvgLen:  7.2 | ALoss: -0.001 | CLoss:  0.684 | Ent: 1.125 | Time:   4.0s
Ep      200 | WinRT:  35.0% | AvgLen:  6.2 | ALoss: -0.001 | CLoss:  0.682 | Ent: 1.139 | Time:   6.9s
Ep      300 | WinRT:  37.0% | AvgLen:  6.5 | ALoss: -0.001 | CLoss:  0.658 | Ent: 1.149 | Time:  10.2s
Ep      400 | WinRT:  36.0% | AvgLen:  7.0 | ALoss: -0.001 | CLoss:  0.610 | Ent: 1.130 | Time:  13.4s
Ep      500 | WinRT:  38.0% | AvgLen:  7.3 | ALoss: -0.000 | CLoss:  0.636 | Ent: 1.144 | Time:  17.0s
Ep      600 | WinRT:  36.0% | AvgLen:  6.7 | ALoss: -0.001 | CLoss:  0.641 | Ent: 1.132 | Time:  20.6s
Ep      700 | WinRT:  44.0% | AvgLen:  6.6 | ALoss: -0.001 | CLoss:  0.704 | Ent: 1.121 | Time:  23.6s
Ep      800 | WinRT:  35.0% | AvgLen:  6.7 | ALoss: -0.002 | CLoss:  0.640 | Ent: 1.114 | Time:  26.8s
Ep      900 | WinRT:  35.0% | AvgLen:  6.6 | ALoss: -0.000 | CLoss:  0.632 | Ent: 1.123 | Time:  29.9s
Ep     1000 | WinRT:  41.0% | AvgLen:  6.4 | ALoss:  0.001 | CLoss:  0.654 | Ent: 1.134 | Time:  33.2s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     1100 | WinRT:  36.0% | AvgLen:  6.3 | ALoss: -0.003 | CLoss:  0.641 | Ent: 1.114 | Time:  36.6s
Ep     1200 | WinRT:  35.0% | AvgLen:  6.4 | ALoss: -0.001 | CLoss:  0.633 | Ent: 1.126 | Time:  39.6s
Ep     1300 | WinRT:  42.0% | AvgLen:  6.6 | ALoss: -0.000 | CLoss:  0.654 | Ent: 1.132 | Time:  42.6s
Ep     1400 | WinRT:  34.0% | AvgLen:  6.6 | ALoss: -0.001 | CLoss:  0.602 | Ent: 1.129 | Time:  45.6s
Ep     1500 | WinRT:  36.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.612 | Ent: 1.120 | Time:  48.8s
Ep     1600 | WinRT:  40.0% | AvgLen:  6.5 | ALoss: -0.004 | CLoss:  0.657 | Ent: 1.110 | Time:  51.9s
Ep     1700 | WinRT:  45.0% | AvgLen:  7.0 | ALoss: -0.000 | CLoss:  0.676 | Ent: 1.106 | Time:  55.2s
Ep     1800 | WinRT:  46.0% | AvgLen:  6.3 | ALoss: -0.003 | CLoss:  0.671 | Ent: 1.111 | Time:  58.2s
Ep     1900 | WinRT:  43.0% | AvgLen:  6.7 | ALoss:  0.001 | CLoss:  0.655 | Ent: 1.117 | Time:  61.3s
Ep     2000 | WinRT:  38.0% | AvgLen:  5.8 | ALoss: -0.002 | CLoss:  0.680 | Ent: 1.105 | Time:  64.3s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     2100 | WinRT:  38.0% | AvgLen:  6.2 | ALoss: -0.007 | CLoss:  0.639 | Ent: 1.123 | Time:  67.3s
Ep     2200 | WinRT:  38.0% | AvgLen:  6.1 | ALoss: -0.001 | CLoss:  0.661 | Ent: 1.084 | Time:  70.2s
Ep     2300 | WinRT:  30.0% | AvgLen:  6.1 | ALoss: -0.005 | CLoss:  0.574 | Ent: 1.069 | Time:  73.2s
Ep     2400 | WinRT:  34.0% | AvgLen:  5.8 | ALoss: -0.009 | CLoss:  0.608 | Ent: 1.075 | Time:  76.1s
Ep     2500 | WinRT:  43.0% | AvgLen:  6.3 | ALoss: -0.001 | CLoss:  0.698 | Ent: 1.075 | Time:  79.3s
Ep     2600 | WinRT:  43.0% | AvgLen:  6.6 | ALoss: -0.000 | CLoss:  0.657 | Ent: 1.076 | Time:  82.4s
Ep     2700 | WinRT:  42.0% | AvgLen:  6.6 | ALoss: -0.005 | CLoss:  0.647 | Ent: 1.083 | Time:  85.4s
Ep     2800 | WinRT:  42.0% | AvgLen:  6.2 | ALoss:  0.002 | CLoss:  0.665 | Ent: 1.078 | Time:  88.4s
Ep     2900 | WinRT:  40.0% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.649 | Ent: 1.076 | Time:  91.5s
Ep     3000 | WinRT:  40.0% | AvgLen:  6.6 | ALoss:  0.001 | CLoss:  0.621 | Ent: 1.088 | Time:  94.5s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     3100 | WinRT:  35.0% | AvgLen:  6.0 | ALoss: -0.000 | CLoss:  0.631 | Ent: 1.089 | Time:  97.3s
Ep     3200 | WinRT:  36.0% | AvgLen:  6.7 | ALoss: -0.004 | CLoss:  0.597 | Ent: 1.092 | Time: 100.5s
Ep     3300 | WinRT:  33.0% | AvgLen:  5.8 | ALoss: -0.004 | CLoss:  0.583 | Ent: 1.086 | Time: 103.4s
Ep     3400 | WinRT:  41.0% | AvgLen:  6.1 | ALoss: -0.007 | CLoss:  0.651 | Ent: 1.052 | Time: 106.5s
Ep     3500 | WinRT:  38.0% | AvgLen:  6.2 | ALoss: -0.003 | CLoss:  0.662 | Ent: 1.054 | Time: 109.6s
