[... training logs ... (Output was truncated, but full training log is visible above up to Ep 538400)]
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   524200 | WinRT:  59.0% | AvgLen:  7.2 | ALoss:  0.001 | CLoss:  0.491 | Ent: 0.317 | Time: 4942.2s
Ep   524400 | WinRT:  56.0% | AvgLen:  8.0 | ALoss: -0.003 | CLoss:  0.403 | Ent: 0.311 | Time: 4944.3s
Ep   524600 | WinRT:  48.0% | AvgLen:  7.9 | ALoss: -0.003 | CLoss:  0.432 | Ent: 0.304 | Time: 4946.4s
Ep   524800 | WinRT:  52.5% | AvgLen:  7.9 | ALoss:  0.003 | CLoss:  0.433 | Ent: 0.300 | Time: 4948.4s
Ep   525000 | WinRT:  48.0% | AvgLen:  8.7 | ALoss:  0.000 | CLoss:  0.362 | Ent: 0.293 | Time: 4950.7s
Ep   525200 | WinRT:  59.0% | AvgLen:  7.4 | ALoss: -0.002 | CLoss:  0.423 | Ent: 0.332 | Time: 4952.7s
Ep   525400 | WinRT:  54.0% | AvgLen:  7.6 | ALoss: -0.001 | CLoss:  0.405 | Ent: 0.327 | Time: 4954.7s
Ep   525600 | WinRT:  50.5% | AvgLen:  7.8 | ALoss: -0.005 | CLoss:  0.404 | Ent: 0.315 | Time: 4956.7s
Ep   525800 | WinRT:  58.5% | AvgLen:  8.9 | ALoss:  0.000 | CLoss:  0.357 | Ent: 0.311 | Time: 4959.0s
Ep   526000 | WinRT:  61.5% | AvgLen:  9.2 | ALoss:  0.001 | CLoss:  0.388 | Ent: 0.283 | Time: 4961.3s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   526200 | WinRT:  51.5% | AvgLen:  7.2 | ALoss:  0.002 | CLoss:  0.489 | Ent: 0.298 | Time: 4963.4s
Ep   526400 | WinRT:  58.0% | AvgLen:  8.2 | ALoss:  0.000 | CLoss:  0.444 | Ent: 0.305 | Time: 4965.6s
Ep   526600 | WinRT:  52.0% | AvgLen:  6.8 | ALoss:  0.000 | CLoss:  0.466 | Ent: 0.329 | Time: 4967.5s
Ep   526800 | WinRT:  54.0% | AvgLen: 10.0 | ALoss: -0.001 | CLoss:  0.309 | Ent: 0.265 | Time: 4970.1s
Ep   527000 | WinRT:  55.0% | AvgLen:  7.2 | ALoss:  0.000 | CLoss:  0.423 | Ent: 0.336 | Time: 4972.1s
Ep   527200 | WinRT:  47.0% | AvgLen:  6.8 | ALoss: -0.001 | CLoss:  0.435 | Ent: 0.336 | Time: 4974.1s
Ep   527400 | WinRT:  51.0% | AvgLen:  7.6 | ALoss: -0.002 | CLoss:  0.410 | Ent: 0.333 | Time: 4976.3s
Ep   527600 | WinRT:  56.0% | AvgLen:  9.2 | ALoss:  0.004 | CLoss:  0.321 | Ent: 0.296 | Time: 4978.8s
Ep   527800 | WinRT:  48.0% | AvgLen:  7.8 | ALoss:  0.009 | CLoss:  0.455 | Ent: 0.318 | Time: 4981.0s
Ep   528000 | WinRT:  53.0% | AvgLen:  7.3 | ALoss:  0.006 | CLoss:  0.459 | Ent: 0.326 | Time: 4983.1s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   528200 | WinRT:  52.0% | AvgLen:  7.2 | ALoss:  0.001 | CLoss:  0.452 | Ent: 0.317 | Time: 4985.2s
