Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep      100 | WinRT:  88.0% | AvgLen: 14.8 | ALoss: -0.003 | CLoss:  0.192 | Ent: 0.076 | Time:   7.8s
Ep      200 | WinRT:  87.0% | AvgLen:  8.9 | ALoss: -0.001 | CLoss:  0.215 | Ent: 0.089 | Time:  12.7s
Ep      300 | WinRT:  89.0% | AvgLen: 15.9 | ALoss: -0.001 | CLoss:  0.121 | Ent: 0.069 | Time:  20.4s
Ep      400 | WinRT:  93.0% | AvgLen:  9.1 | ALoss: -0.001 | CLoss:  0.190 | Ent: 0.093 | Time:  25.1s
Ep      500 | WinRT:  94.0% | AvgLen: 18.2 | ALoss:  0.000 | CLoss:  0.079 | Ent: 0.063 | Time:  34.3s
Ep      600 | WinRT:  87.0% | AvgLen: 22.8 | ALoss: -0.001 | CLoss:  0.122 | Ent: 0.063 | Time:  47.3s
Ep      700 | WinRT:  87.0% | AvgLen: 13.9 | ALoss: -0.002 | CLoss:  0.146 | Ent: 0.083 | Time:  54.0s
Ep      800 | WinRT:  82.0% | AvgLen: 14.0 | ALoss: -0.001 | CLoss:  0.210 | Ent: 0.077 | Time:  60.7s
Ep      900 | WinRT:  84.0% | AvgLen:  8.0 | ALoss: -0.004 | CLoss:  0.282 | Ent: 0.096 | Time:  64.3s
Ep     1000 | WinRT:  91.0% | AvgLen: 21.6 | ALoss: -0.001 | CLoss:  0.109 | Ent: 0.062 | Time:  74.8s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     1100 | WinRT:  90.0% | AvgLen: 10.3 | ALoss:  0.003 | CLoss:  0.197 | Ent: 0.115 | Time:  80.5s
Ep     1200 | WinRT:  94.0% | AvgLen: 10.9 | ALoss: -0.002 | CLoss:  0.123 | Ent: 0.083 | Time:  86.1s
Ep     1300 | WinRT:  83.0% | AvgLen: 24.0 | ALoss: -0.002 | CLoss:  0.128 | Ent: 0.063 | Time:  98.1s
Ep     1400 | WinRT:  85.0% | AvgLen: 33.8 | ALoss: -0.000 | CLoss:  0.077 | Ent: 0.042 | Time: 113.3s
Ep     1500 | WinRT:  87.0% | AvgLen: 17.6 | ALoss: -0.001 | CLoss:  0.137 | Ent: 0.069 | Time: 121.5s
Ep     1600 | WinRT:  85.0% | AvgLen: 16.1 | ALoss: -0.001 | CLoss:  0.181 | Ent: 0.085 | Time: 130.0s
Ep     1700 | WinRT:  92.0% | AvgLen: 10.3 | ALoss: -0.001 | CLoss:  0.175 | Ent: 0.104 | Time: 135.2s
Ep     1800 | WinRT:  90.0% | AvgLen: 12.9 | ALoss: -0.001 | CLoss:  0.166 | Ent: 0.100 | Time: 141.2s
Ep     1900 | WinRT:  92.0% | AvgLen: 20.7 | ALoss: -0.001 | CLoss:  0.108 | Ent: 0.078 | Time: 151.1s
Ep     2000 | WinRT:  88.0% | AvgLen:  8.8 | ALoss:  0.001 | CLoss:  0.234 | Ent: 0.113 | Time: 155.1s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     2100 | WinRT:  87.0% | AvgLen: 16.3 | ALoss: -0.000 | CLoss:  0.161 | Ent: 0.094 | Time: 162.9s
Ep     2200 | WinRT:  91.0% | AvgLen: 11.9 | ALoss:  0.001 | CLoss:  0.139 | Ent: 0.104 | Time: 168.6s
Ep     2300 | WinRT:  92.0% | AvgLen:  9.4 | ALoss: -0.002 | CLoss:  0.180 | Ent: 0.120 | Time: 173.1s
Ep     2400 | WinRT:  89.0% | AvgLen: 16.8 | ALoss: -0.001 | CLoss:  0.121 | Ent: 0.066 | Time: 180.9s
Ep     2500 | WinRT:  93.0% | AvgLen:  9.0 | ALoss: -0.002 | CLoss:  0.205 | Ent: 0.117 | Time: 185.3s
Ep     2600 | WinRT:  85.0% | AvgLen: 30.6 | ALoss: -0.000 | CLoss:  0.081 | Ent: 0.042 | Time: 199.1s
Ep     2700 | WinRT:  93.0% | AvgLen: 10.3 | ALoss: -0.002 | CLoss:  0.168 | Ent: 0.116 | Time: 204.1s
Ep     2800 | WinRT:  88.0% | AvgLen: 13.9 | ALoss: -0.001 | CLoss:  0.175 | Ent: 0.088 | Time: 210.7s
Ep     2900 | WinRT:  84.0% | AvgLen:  9.8 | ALoss: -0.001 | CLoss:  0.249 | Ent: 0.121 | Time: 215.4s
Ep     3000 | WinRT:  87.0% | AvgLen: 17.6 | ALoss: -0.000 | CLoss:  0.140 | Ent: 0.063 | Time: 223.9s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     3100 | WinRT:  88.0% | AvgLen: 14.4 | ALoss: -0.000 | CLoss:  0.137 | Ent: 0.092 | Time: 231.6s
Ep     3200 | WinRT:  89.0% | AvgLen: 18.0 | ALoss: -0.001 | CLoss:  0.107 | Ent: 0.087 | Time: 240.4s
Ep     3300 | WinRT:  90.0% | AvgLen:  8.3 | ALoss: -0.003 | CLoss:  0.178 | Ent: 0.126 | Time: 244.4s
Ep     3400 | WinRT:  86.0% | AvgLen: 30.9 | ALoss: -0.000 | CLoss:  0.078 | Ent: 0.044 | Time: 259.2s
Ep     3500 | WinRT:  82.0% | AvgLen: 10.1 | ALoss: -0.001 | CLoss:  0.287 | Ent: 0.125 | Time: 264.2s
Ep     3600 | WinRT:  91.0% | AvgLen:  9.3 | ALoss:  0.000 | CLoss:  0.183 | Ent: 0.105 | Time: 268.8s
Ep     3700 | WinRT:  89.0% | AvgLen:  9.5 | ALoss: -0.003 | CLoss:  0.226 | Ent: 0.124 | Time: 273.9s
Ep     3800 | WinRT:  89.0% | AvgLen: 14.6 | ALoss: -0.001 | CLoss:  0.144 | Ent: 0.093 | Time: 281.1s
Ep     3900 | WinRT:  89.0% | AvgLen:  9.4 | ALoss:  0.001 | CLoss:  0.187 | Ent: 0.122 | Time: 286.1s
Ep     4000 | WinRT:  90.0% | AvgLen: 16.3 | ALoss: -0.001 | CLoss:  0.116 | Ent: 0.077 | Time: 294.6s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     4100 | WinRT:  89.0% | AvgLen: 12.6 | ALoss:  0.000 | CLoss:  0.129 | Ent: 0.087 | Time: 301.3s
Ep     4200 | WinRT:  86.0% | AvgLen: 10.1 | ALoss: -0.001 | CLoss:  0.216 | Ent: 0.094 | Time: 306.4s
Ep     4300 | WinRT:  92.0% | AvgLen: 17.5 | ALoss: -0.002 | CLoss:  0.104 | Ent: 0.077 | Time: 314.6s
Ep     4400 | WinRT:  84.0% | AvgLen: 28.4 | ALoss: -0.001 | CLoss:  0.077 | Ent: 0.058 | Time: 327.5s
Ep     4500 | WinRT:  96.0% | AvgLen: 18.3 | ALoss:  0.001 | CLoss:  0.067 | Ent: 0.056 | Time: 336.6s
Ep     4600 | WinRT:  95.0% | AvgLen:  8.4 | ALoss: -0.002 | CLoss:  0.141 | Ent: 0.114 | Time: 340.8s
Ep     4700 | WinRT:  86.0% | AvgLen: 34.5 | ALoss: -0.000 | CLoss:  0.078 | Ent: 0.046 | Time: 357.2s
Ep     4800 | WinRT:  92.0% | AvgLen: 20.1 | ALoss: -0.001 | CLoss:  0.099 | Ent: 0.064 | Time: 366.7s
Ep     4900 | WinRT:  90.0% | AvgLen: 18.4 | ALoss: -0.002 | CLoss:  0.097 | Ent: 0.067 | Time: 375.9s
Ep     5000 | WinRT:  95.0% | AvgLen: 15.2 | ALoss: -0.001 | CLoss:  0.117 | Ent: 0.078 | Time: 384.0s
  -> Saved checkpoint to ppo_model_gen2.pt
