Starting Gen 5 Self-Play training for 3500000 episodes on cpu...
Ep      200 | WinRT:  41.5% | AvgLen:  7.1 | ALoss: -0.001 | CLoss:  0.633 | Ent: 1.125 | Time:   3.4s
Ep      400 | WinRT:  45.0% | AvgLen:  7.0 | ALoss: -0.001 | CLoss:  0.655 | Ent: 1.115 | Time:   6.7s
Ep      600 | WinRT:  43.5% | AvgLen:  7.2 | ALoss: -0.002 | CLoss:  0.650 | Ent: 1.113 | Time:  10.1s
Ep      800 | WinRT:  50.0% | AvgLen:  7.1 | ALoss: -0.001 | CLoss:  0.662 | Ent: 1.114 | Time:  13.3s
Ep     1000 | WinRT:  47.5% | AvgLen:  6.8 | ALoss: -0.001 | CLoss:  0.674 | Ent: 1.121 | Time:  16.6s
Ep     1200 | WinRT:  42.5% | AvgLen:  7.3 | ALoss: -0.002 | CLoss:  0.643 | Ent: 1.115 | Time:  20.0s
Ep     1400 | WinRT:  49.0% | AvgLen:  6.9 | ALoss: -0.002 | CLoss:  0.665 | Ent: 1.105 | Time:  23.3s
Ep     1600 | WinRT:  46.5% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.690 | Ent: 1.111 | Time:  26.4s
Ep     1800 | WinRT:  52.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.684 | Ent: 1.108 | Time:  29.6s
Ep     2000 | WinRT:  50.5% | AvgLen:  6.8 | ALoss: -0.001 | CLoss:  0.680 | Ent: 1.103 | Time:  32.8s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep     2200 | WinRT:  42.5% | AvgLen:  5.4 | ALoss: -0.002 | CLoss:  0.732 | Ent: 1.082 | Time:  35.7s
Ep     2400 | WinRT:  48.5% | AvgLen:  5.6 | ALoss: -0.002 | CLoss:  0.717 | Ent: 1.082 | Time:  38.6s
Ep     2600 | WinRT:  48.5% | AvgLen:  5.7 | ALoss: -0.003 | CLoss:  0.710 | Ent: 1.057 | Time:  41.5s
Ep     2800 | WinRT:  47.5% | AvgLen:  5.5 | ALoss: -0.002 | CLoss:  0.719 | Ent: 1.084 | Time:  44.4s
Ep     3000 | WinRT:  46.5% | AvgLen:  5.5 | ALoss: -0.002 | CLoss:  0.707 | Ent: 1.055 | Time:  47.1s
Ep     3200 | WinRT:  45.5% | AvgLen:  5.8 | ALoss: -0.002 | CLoss:  0.698 | Ent: 1.014 | Time:  50.0s
Ep     3400 | WinRT:  51.5% | AvgLen:  5.4 | ALoss: -0.002 | CLoss:  0.715 | Ent: 1.021 | Time:  52.9s
Ep     3600 | WinRT:  50.5% | AvgLen:  5.3 | ALoss: -0.001 | CLoss:  0.714 | Ent: 0.981 | Time:  55.8s
Ep     3800 | WinRT:  49.0% | AvgLen:  5.3 | ALoss: -0.003 | CLoss:  0.719 | Ent: 0.980 | Time:  58.7s
Ep     4000 | WinRT:  49.5% | AvgLen:  5.4 | ALoss: -0.002 | CLoss:  0.700 | Ent: 0.966 | Time:  61.5s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep     4200 | WinRT:  45.0% | AvgLen:  5.3 | ALoss: -0.005 | CLoss:  0.672 | Ent: 0.955 | Time:  64.3s
Ep     4400 | WinRT:  49.5% | AvgLen:  4.9 | ALoss: -0.005 | CLoss:  0.719 | Ent: 0.953 | Time:  67.0s
Ep     4600 | WinRT:  46.0% | AvgLen:  5.1 | ALoss: -0.007 | CLoss:  0.709 | Ent: 0.930 | Time:  69.6s
Ep     4800 | WinRT:  46.5% | AvgLen:  5.2 | ALoss: -0.008 | CLoss:  0.695 | Ent: 0.871 | Time:  72.4s
Ep     5000 | WinRT:  50.5% | AvgLen:  5.2 | ALoss: -0.008 | CLoss:  0.655 | Ent: 0.824 | Time:  75.1s
Ep     5200 | WinRT:  53.5% | AvgLen:  5.1 | ALoss: -0.008 | CLoss:  0.695 | Ent: 0.785 | Time:  77.8s
Ep     5400 | WinRT:  50.5% | AvgLen:  5.2 | ALoss: -0.003 | CLoss:  0.668 | Ent: 0.734 | Time:  80.6s
Ep     5600 | WinRT:  52.0% | AvgLen:  5.3 | ALoss: -0.005 | CLoss:  0.673 | Ent: 0.685 | Time:  83.3s
Ep     5800 | WinRT:  56.0% | AvgLen:  5.3 | ALoss: -0.006 | CLoss:  0.656 | Ent: 0.647 | Time:  86.1s
Ep     6000 | WinRT:  51.5% | AvgLen:  5.0 | ALoss: -0.003 | CLoss:  0.664 | Ent: 0.626 | Time:  89.0s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep     6200 | WinRT:  45.5% | AvgLen:  5.3 | ALoss: -0.003 | CLoss:  0.595 | Ent: 0.622 | Time:  91.8s
Ep     6400 | WinRT:  45.0% | AvgLen:  5.3 | ALoss: -0.007 | CLoss:  0.604 | Ent: 0.614 | Time:  94.6s
Ep     6600 | WinRT:  55.5% | AvgLen:  5.8 | ALoss: -0.005 | CLoss:  0.612 | Ent: 0.580 | Time:  97.5s
Ep     6800 | WinRT:  47.5% | AvgLen:  5.8 | ALoss: -0.008 | CLoss:  0.583 | Ent: 0.574 | Time: 100.4s
Ep     7000 | WinRT:  51.5% | AvgLen:  5.9 | ALoss: -0.006 | CLoss:  0.606 | Ent: 0.548 | Time: 103.3s
Ep     7200 | WinRT:  49.5% | AvgLen:  5.9 | ALoss: -0.010 | CLoss:  0.595 | Ent: 0.533 | Time: 106.2s
Ep     7400 | WinRT:  55.5% | AvgLen:  5.8 | ALoss: -0.007 | CLoss:  0.597 | Ent: 0.524 | Time: 109.1s
Ep     7600 | WinRT:  62.0% | AvgLen:  6.4 | ALoss: -0.007 | CLoss:  0.545 | Ent: 0.476 | Time: 112.2s
Ep     7800 | WinRT:  61.5% | AvgLen:  6.3 | ALoss: -0.005 | CLoss:  0.538 | Ent: 0.441 | Time: 115.3s
Ep     8000 | WinRT:  55.0% | AvgLen:  6.3 | ALoss: -0.006 | CLoss:  0.538 | Ent: 0.423 | Time: 118.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep     8200 | WinRT:  43.0% | AvgLen:  9.6 | ALoss: -0.002 | CLoss:  0.502 | Ent: 0.312 | Time: 122.5s
Ep     8400 | WinRT:  38.5% | AvgLen: 10.6 | ALoss: -0.001 | CLoss:  0.417 | Ent: 0.285 | Time: 127.1s
Ep     8600 | WinRT:  41.5% | AvgLen: 10.8 | ALoss: -0.001 | CLoss:  0.429 | Ent: 0.271 | Time: 131.7s
Ep     8800 | WinRT:  44.0% | AvgLen: 10.8 | ALoss: -0.001 | CLoss:  0.437 | Ent: 0.268 | Time: 136.4s
Ep     9000 | WinRT:  42.5% | AvgLen: 10.1 | ALoss: -0.001 | CLoss:  0.394 | Ent: 0.272 | Time: 140.8s
Ep     9200 | WinRT:  41.0% | AvgLen: 11.2 | ALoss: -0.001 | CLoss:  0.365 | Ent: 0.238 | Time: 145.8s
Ep     9400 | WinRT:  45.0% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.360 | Ent: 0.236 | Time: 150.5s
Ep     9600 | WinRT:  38.5% | AvgLen: 11.4 | ALoss: -0.002 | CLoss:  0.395 | Ent: 0.226 | Time: 155.3s
Ep     9800 | WinRT:  37.5% | AvgLen: 10.9 | ALoss: -0.000 | CLoss:  0.402 | Ent: 0.231 | Time: 160.0s
Ep    10000 | WinRT:  40.0% | AvgLen: 11.5 | ALoss: -0.000 | CLoss:  0.398 | Ent: 0.218 | Time: 164.9s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    10200 | WinRT:  45.0% | AvgLen: 12.9 | ALoss: -0.000 | CLoss:  0.289 | Ent: 0.209 | Time: 170.5s
Ep    10400 | WinRT:  42.5% | AvgLen: 12.3 | ALoss: -0.001 | CLoss:  0.345 | Ent: 0.214 | Time: 175.7s
Ep    10600 | WinRT:  42.0% | AvgLen: 12.5 | ALoss:  0.000 | CLoss:  0.273 | Ent: 0.213 | Time: 181.0s
Ep    10800 | WinRT:  35.5% | AvgLen: 12.6 | ALoss: -0.000 | CLoss:  0.295 | Ent: 0.202 | Time: 186.6s
Ep    11000 | WinRT:  46.0% | AvgLen: 11.9 | ALoss:  0.000 | CLoss:  0.276 | Ent: 0.215 | Time: 192.1s
Ep    11200 | WinRT:  38.0% | AvgLen: 12.4 | ALoss: -0.001 | CLoss:  0.235 | Ent: 0.211 | Time: 197.4s
Ep    11400 | WinRT:  44.0% | AvgLen: 12.1 | ALoss: -0.002 | CLoss:  0.343 | Ent: 0.223 | Time: 202.5s
Ep    11600 | WinRT:  44.0% | AvgLen: 12.8 | ALoss: -0.003 | CLoss:  0.271 | Ent: 0.215 | Time: 207.8s
Ep    11800 | WinRT:  42.0% | AvgLen: 12.4 | ALoss: -0.002 | CLoss:  0.251 | Ent: 0.224 | Time: 213.0s
Ep    12000 | WinRT:  44.0% | AvgLen: 13.1 | ALoss: -0.003 | CLoss:  0.271 | Ent: 0.216 | Time: 218.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    12200 | WinRT:  45.0% | AvgLen: 11.6 | ALoss: -0.004 | CLoss:  0.349 | Ent: 0.241 | Time: 223.1s
Ep    12400 | WinRT:  40.5% | AvgLen: 12.3 | ALoss: -0.005 | CLoss:  0.365 | Ent: 0.239 | Time: 228.1s
Ep    12600 | WinRT:  43.5% | AvgLen: 12.2 | ALoss: -0.003 | CLoss:  0.330 | Ent: 0.247 | Time: 233.2s
Ep    12800 | WinRT:  47.0% | AvgLen: 12.8 | ALoss: -0.006 | CLoss:  0.435 | Ent: 0.255 | Time: 238.4s
Ep    13000 | WinRT:  55.5% | AvgLen: 12.1 | ALoss: -0.007 | CLoss:  0.389 | Ent: 0.270 | Time: 243.5s
Ep    13200 | WinRT:  55.5% | AvgLen: 11.4 | ALoss: -0.003 | CLoss:  0.338 | Ent: 0.269 | Time: 248.2s
Ep    13400 | WinRT:  52.0% | AvgLen: 11.6 | ALoss: -0.005 | CLoss:  0.378 | Ent: 0.266 | Time: 253.1s
Ep    13600 | WinRT:  63.0% | AvgLen: 12.2 | ALoss: -0.004 | CLoss:  0.327 | Ent: 0.253 | Time: 258.1s
Ep    13800 | WinRT:  54.5% | AvgLen: 11.9 | ALoss: -0.003 | CLoss:  0.351 | Ent: 0.248 | Time: 263.1s
Ep    14000 | WinRT:  59.0% | AvgLen: 11.3 | ALoss: -0.001 | CLoss:  0.283 | Ent: 0.249 | Time: 267.8s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    14200 | WinRT:  44.5% | AvgLen: 10.5 | ALoss: -0.001 | CLoss:  0.485 | Ent: 0.255 | Time: 272.2s
Ep    14400 | WinRT:  38.5% | AvgLen: 11.1 | ALoss:  0.000 | CLoss:  0.428 | Ent: 0.234 | Time: 276.9s
Ep    14600 | WinRT:  48.0% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.433 | Ent: 0.236 | Time: 281.4s
Ep    14800 | WinRT:  42.5% | AvgLen: 10.2 | ALoss: -0.000 | CLoss:  0.413 | Ent: 0.236 | Time: 285.9s
Ep    15000 | WinRT:  40.5% | AvgLen: 10.5 | ALoss: -0.001 | CLoss:  0.377 | Ent: 0.234 | Time: 290.3s
Ep    15200 | WinRT:  41.5% | AvgLen: 11.1 | ALoss: -0.001 | CLoss:  0.385 | Ent: 0.222 | Time: 295.0s
Ep    15400 | WinRT:  40.0% | AvgLen: 10.9 | ALoss: -0.001 | CLoss:  0.303 | Ent: 0.221 | Time: 299.6s
Ep    15600 | WinRT:  43.0% | AvgLen: 10.9 | ALoss: -0.002 | CLoss:  0.313 | Ent: 0.224 | Time: 304.3s
Ep    15800 | WinRT:  49.0% | AvgLen: 11.6 | ALoss: -0.001 | CLoss:  0.381 | Ent: 0.211 | Time: 309.0s
Ep    16000 | WinRT:  42.5% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.333 | Ent: 0.204 | Time: 313.6s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    16200 | WinRT:  39.0% | AvgLen: 11.4 | ALoss: -0.002 | CLoss:  0.313 | Ent: 0.193 | Time: 318.3s
Ep    16400 | WinRT:  45.0% | AvgLen: 10.9 | ALoss: -0.001 | CLoss:  0.360 | Ent: 0.197 | Time: 323.0s
Ep    16600 | WinRT:  39.0% | AvgLen: 11.1 | ALoss: -0.003 | CLoss:  0.372 | Ent: 0.187 | Time: 327.7s
Ep    16800 | WinRT:  47.0% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.331 | Ent: 0.187 | Time: 332.2s
Ep    17000 | WinRT:  41.0% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.282 | Ent: 0.175 | Time: 337.0s
Ep    17200 | WinRT:  41.5% | AvgLen: 11.3 | ALoss: -0.000 | CLoss:  0.252 | Ent: 0.177 | Time: 341.8s
Ep    17400 | WinRT:  40.5% | AvgLen: 11.0 | ALoss:  0.000 | CLoss:  0.305 | Ent: 0.173 | Time: 346.5s
